"Name","training_start_time","num_transformations","num_replacements","out_of_style_prob","State","Notes","User","Tags","Created","Runtime","augmentation_seed","batch_size","d_model","dataset_processed_time","dim_forward","dropout","epochs","grad_clip","hit_sigmoid_in_forward","learning_rate","loss_penalty","n_heads","n_layers","seed_examples_sets","test_data_size","torch_seed","training_data_size","epoch","grad_norm","hit_accuracy","hits_loss","offsets_loss","test_loss","training_loss","training_sample","velocities_loss"
"sage-jazz-129","1712647909","1","2","0.5","finished","-","","","2024-04-09T07:31:49.000Z","2468","42","16","128","1712647866","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4087","42","33478","50","1.68626606464386","0.913992166519165","0.6456525325775146","0.01190132275223732","3.525213750079274","0.7705540060997009","32768","0.11300013959407806"
"expert-music-128","1712647830","1","1","0","finished","-","","","2024-04-09T07:30:33.000Z","2474","42","16","128","1712647789","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4065","42","33367","50","1.9079558849334717","0.8962775468826294","0.951552152633667","0.020177172496914864","3.5946498824100868","1.094830870628357","32768","0.123101606965065"
"major-totem-127","1712645627","2","1","1","finished","-","","","2024-04-09T06:53:49.000Z","3500","42","16","128","1712645565","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","6052","42","49624","50","1.7575185298919678","0.901544988155365","0.5599467158317566","0.01751636154949665","3.570454978691242","0.6950232982635498","49152","0.11756023019552232"
"firm-moon-126","1712645566","1","4","0.5","finished","-","","","2024-04-09T06:52:47.000Z","2298","42","16","128","1712645522","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4122","42","33651","50","1.0460450649261477","0.925300121307373","0.09386377781629562","0.0032526070717722178","3.480827532073324","0.11883610486984252","32768","0.021719716489315033"
"gentle-tree-125","1712645490","1","4","0","finished","-","","","2024-04-09T06:51:32.000Z","2296","42","16","128","1712645446","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","4100","42","33619","50","2.1810286045074463","0.926008403301239","0.24549676477909088","0.008526792749762535","3.4836687837593288","0.29035523533821106","32768","0.036331672221422195"
"cardassian-data-124","1712445292","0","1","0.5","finished","-","","","2024-04-06T23:14:52.000Z","1144","42","16","128","1712445271","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","17037","50","2.427421808242798","0.8851094841957092","1.1098847389221191","0.026024311780929565","3.6419294302280134","1.2618207931518557","16384","0.12591172754764557"
"emissary-unimatrix-123","1712440953","3","2","1","finished","-","","","2024-04-06T22:02:33.000Z","4317","42","16","128","1712440815","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65949","50","1.8370184898376465","0.8854750990867615","0.4739634692668915","0.012003310024738312","3.664010825523963","0.569701611995697","65536","0.08373484760522842"
"ensign-resistance-122","1712437156","1","2","0.25","finished","-","","","2024-04-06T20:59:16.000Z","2312","42","16","128","1712437118","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","33429","50","3.4148716926574707","0.8826873302459717","0.9619383811950684","0.01340082660317421","3.6823425971544705","1.0765488147735596","32768","0.10120965540409088"
"final-quark-121","1712436285","3","2","0","finished","-","","","2024-04-06T20:44:46.000Z","4527","42","16","128","1712436001","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66528","50","2.8127195835113525","0.8811865448951721","0.5311873555183411","0.007815061137080193","3.682932998583867","0.6393201947212219","65536","0.1003178060054779"
"prime-first-contact-120","1712432554","3","2","0.25","finished","-","","","2024-04-06T19:42:34.000Z","4557","42","16","128","1712432480","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","65932","50","2.13175892829895","0.8831046223640442","0.6579365730285645","0.016947295516729355","3.676196254216708","0.7984404563903809","65536","0.12355662137269974"
"nagus-first-contact-119","1712431430","3","1","0.5","finished","-","","","2024-04-06T19:23:50.000Z","4569","42","16","128","1712431357","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66578","50","6.146413326263428","0.8903695940971375","0.97296142578125","0.013250848278403282","3.632190691507779","1.1905980110168457","65536","0.20438574254512787"
"prime-dominion-118","1712429081","2","1","0.25","finished","-","","","2024-04-06T18:44:41.000Z","3397","42","16","128","1712429026","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","49488","50","4.503908634185791","0.8948033452033997","1.1608452796936035","0.014052917249500751","3.611513785215525","1.3334829807281494","49152","0.15858487784862518"
"futile-queen-117","1712426762","3","4","0","finished","-","","","2024-04-06T18:06:02.000Z","4589","42","16","128","1712426686","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","66500","50","0.04455957189202309","0.8173327445983887","0.0021202494390308857","0.00012600841000676155","4.148887634277344","0.003493376076221466","65536","0.0012471183435991406"
"captain-dukat-116","1712425600","2","4","0.25","finished","-","","","2024-04-06T17:46:41.000Z","3424","42","16","128","1712425542","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","49900","50","0.30312085151672363","0.8560463190078735","0.028767000883817673","0.0011477286461740732","3.8765252480140098","0.03585876524448395","49152","0.0059440345503389835"
"romulan-t-pol-115","1712423247","1","1","0.25","finished","-","","","2024-04-06T17:07:28.000Z","2293","42","16","128","1712423210","16","0.1594","50","100","false","0.037","0.497","4","11","[""23set"",""32set""]","2075","42","33246","50","2.43778133392334","0.8870659470558167","0.8683244585990906","0.02131647989153862","3.6448430391458366","1.0315278768539429","32768","0.141886904835701"
